"","Name_submitted","Accepted_name","Common.Name","Butterflies.and.Moths.Supported","Attracts.Wildlife","Plant.Type","Form","Height","Width","Growth.Rate","Seasonality","Flower.Color","Flowering.Season","Fragrance","Sun","Soil.Drainage","Water.Requirement","Summer.Irrigation","Ease.of.Care","Nursery.Availability","Companions","Special.Uses","Communities..simplified.","Communities","Hardiness","Sunset.Zones","Soil","Soil.Texture","Soil.pH","Soil.Toxicity","Mulch","Site.Type","Elevation..min.","Elevation..max.","Rainfall..min.","Rainfall..max.","Tips","Pests","Propagation","Height..min.","Height..max.","Width..min.","Width..max.","Other.Names","Alternative.Common.Names","Obsolete.Names","Rarity","Is.Cultivar","Jepson.Link","Plant.Url","QR.Codes..change.number.to.change.image.size.in.pixels."
"3391","Erigeron pumilus","Erigeron pumilus","Shaggy Fleabane",10,"Bees, Butterflies, Caterpillars","Perennial herb","","2 ft","","","","White, Yellow","","","","","","","","Never or Almost Never Available","","","Desert, Forest, Woodland","Joshua Tree Woodland, Northern Juniper Woodland, Pinyon-Juniper Woodland, Sagebrush Scrub, Yellow Pine Forest","","","","","","","","",NA,NA,NA,NA,"","","",24,24,NA,NA,"","Vernal Daisy","","","N","https://ucjeps.berkeley.edu/eflora/eflora_display.php?name=Erigeron+pumilus","https://calscape.org/Erigeron-pumilus-%28Shaggy-Fleabane%29","https://calscape.org/storage/app/media/qr/Erigeron-pumilus-%28Shaggy-Fleabane%29.png"
"3392","Erigeron pumilus var. intermedius","Erigeron pumilus subsp. intermedius","Shaggy Fleabane",10,"Bees, Butterflies, Caterpillars","Perennial herb","","","","","","White, Yellow","","","","","","","","Never or Almost Never Available","","","Desert, Forest, Woodland","Joshua Tree Woodland, Northern Juniper Woodland, Pinyon-Juniper Woodland, Sagebrush Scrub, Yellow Pine Forest","","","","","","","","",NA,NA,4.64,86.86,"","","",NA,NA,NA,NA,"","","","","N","https://ucjeps.berkeley.edu/eflora/eflora_display.php?name=Erigeron+pumilus+var.+intermedius","https://calscape.org/Erigeron-pumilus-var.-intermedius-%28Shaggy-Fleabane%29","https://calscape.org/storage/app/media/qr/Erigeron-pumilus-var.-intermedius-%28Shaggy-Fleabane%29.png"
"3393","Erigeron pygmaeus","Erigeron pygmaeus","Pygmy Fleabane",8,"Bees, Butterflies, Caterpillars","Perennial herb","","2 in","","","","Pink, Yellow","","","Partial Shade","","","","","Never or Almost Never Available","","Groundcover","Forest, Meadow","Alpine Fell-Fields, Subalpine Forest","","","","","","","","",6067,13682,7.74,70.51,"Prefers part shade.","","",2,2,NA,NA,"Fleabane, Pygmy","Dwarf Daisy,Pygmy Daisy","","","N","https://ucjeps.berkeley.edu/eflora/eflora_display.php?name=Erigeron+pygmaeus","https://calscape.org/Erigeron-pygmaeus-%28Pygmy-Fleabane%29","https://calscape.org/storage/app/media/qr/Erigeron-pygmaeus-%28Pygmy-Fleabane%29.png"
"3394","Erigeron reductus","Erigeron reductus","Lesser California Rayless Fleabane",7,"Bees, Butterflies, Caterpillars","Perennial herb","","","","","","Yellow","","","","","","","","Never or Almost Never Available","","","","","","","","","","","","",NA,NA,NA,NA,"","","",NA,NA,NA,NA,"","","","","N","https://ucjeps.berkeley.edu/eflora/eflora_display.php?name=Erigeron+reductus","https://calscape.org/Erigeron-reductus-%28Lesser-California-Rayless-Fleabane%29","https://calscape.org/storage/app/media/qr/Erigeron-reductus-%28Lesser-California-Rayless-Fleabane%29.png"
"3395","Erigeron reductus var. angustatus","Erigeron reductus var. angustatus","",7,"Bees, Butterflies, Caterpillars","Perennial herb","","","","","","Yellow","","","","","","","","Never or Almost Never Available","","","","","","","","","","","","",NA,NA,29.73,95.53,"","","",NA,NA,NA,NA,"","","","","N","https://ucjeps.berkeley.edu/eflora/eflora_display.php?name=Erigeron+reductus+var.+angustatus","https://calscape.org/Erigeron-reductus-var.-angustatus-%28%29","https://calscape.org/storage/app/media/qr/Erigeron-reductus-var.-angustatus-%28%29.png"
"3396","Erigeron reductus var. reductus","Erigeron reductus var. reductus","California Rayless Daisy",4,"Bees, Butterflies, Caterpillars","Perennial herb","","","","","","Yellow","","","","","","","","Never or Almost Never Available","","","","","","","","","","","","",NA,NA,17.1,86.98,"","","",NA,NA,NA,NA,"","Fleabane","","","N","https://ucjeps.berkeley.edu/eflora/eflora_display.php?name=Erigeron+reductus+var.+reductus","https://calscape.org/Erigeron-reductus-var.-reductus-%28California-Rayless-Daisy%29","https://calscape.org/storage/app/media/qr/Erigeron-reductus-var.-reductus-%28California-Rayless-Daisy%29.png"
"3397","Erigeron robustior","Erigeron robustior","Robust Daisy",3,"Butterflies, Caterpillars","Perennial herb","","2 ft","","","","Pink, White","","","","","","","","Never or Almost Never Available","","","","","","","","","","","","",NA,NA,48.73,133.89,"","","",24,24,NA,NA,"","White Cushion Fleabane,Willamette Fleabane","","","N","https://ucjeps.berkeley.edu/eflora/eflora_display.php?name=Erigeron+robustior","https://calscape.org/Erigeron-robustior-%28Robust-Daisy%29","https://calscape.org/storage/app/media/qr/Erigeron-robustior-%28Robust-Daisy%29.png"
"3398","Erigeron sanctarum","Erigeron sanctarum","Saints' Daisy",6,"Bees, Butterflies, Caterpillars","Perennial herb","","","","","","","","","","","","","","Never or Almost Never Available","","","","","","","","","","","","",NA,NA,11.84,45.09,"","","",NA,NA,NA,NA,"","Saint's Daisy,Saints Fleabane,Saints Daisy","","","N","https://ucjeps.berkeley.edu/eflora/eflora_display.php?name=Erigeron+sanctarum","https://calscape.org/Erigeron-sanctarum-%28Saints%27-Daisy%29","https://calscape.org/storage/app/media/qr/Erigeron-sanctarum-%28Saints%27-Daisy%29.png"
"3399","Erigeron serpentinus","Erigeron serpentinus","Serpentine Daisy",2,"Bees, Butterflies, Caterpillars","Perennial herb","","","","","","Lavender, Yellow, White","","","","","","","","Never or Almost Never Available","","","","","","","","","","","","",NA,NA,39.7,77.83,"","","",NA,NA,NA,NA,"","Serpentine Fleabane,Serpentine Erigeron","","","N","https://ucjeps.berkeley.edu/eflora/eflora_display.php?name=Erigeron+serpentinus","https://calscape.org/Erigeron-serpentinus-%28Serpentine-Daisy%29","https://calscape.org/storage/app/media/qr/Erigeron-serpentinus-%28Serpentine-Daisy%29.png"
"3400","Erigeron supplex","Erigeron supplex","Supple Daisy",4,"Bees, Butterflies, Caterpillars","Perennial herb","","1 ft","","","","Yellow","","","","","","","","Never or Almost Never Available","","","","","","","","","","","","",NA,NA,34.73,56.54,"","","",12,12,NA,NA,"","Supple Fleabane","","","N","https://ucjeps.berkeley.edu/eflora/eflora_display.php?name=Erigeron+supplex","https://calscape.org/Erigeron-supplex-%28Supple-Daisy%29","https://calscape.org/storage/app/media/qr/Erigeron-supplex-%28Supple-Daisy%29.png"
"3401","Erigeron tener","Erigeron tener","Thin Daisy",6,"Bees, Butterflies, Caterpillars","Perennial herb","","8 in","","","","Lavender, Yellow","","","","","","","","Never or Almost Never Available","","","Desert, Forest, Meadow","Alpine Fell-Fields, Lodgepole Forest, Red Fir Forest, Sagebrush Scrub, Subalpine Forest, Yellow Pine Forest","","","","","","","","",NA,NA,7.43,86.98,"","","",8,8,NA,NA,"","Slender Fleabane","","","N","https://ucjeps.berkeley.edu/eflora/eflora_display.php?name=Erigeron+tener","https://calscape.org/Erigeron-tener-%28Thin-Daisy%29","https://calscape.org/storage/app/media/qr/Erigeron-tener-%28Thin-Daisy%29.png"
"3402","Erigeron uncialis","Erigeron uncialis","Lone Fleabane",1,"Bees, Butterflies, Caterpillars","Perennial herb","","3 in","","","","Pink, Yellow, White","","","","","","","","Never or Almost Never Available","","","Desert, Forest","Bristlecone Pine Forest, Sagebrush Scrub","","","","","","","","",NA,NA,NA,NA,"","","",3,3,NA,NA,"","","","","N","https://ucjeps.berkeley.edu/eflora/eflora_display.php?name=Erigeron+uncialis","https://calscape.org/Erigeron-uncialis-%28Lone-Fleabane%29","https://calscape.org/storage/app/media/qr/Erigeron-uncialis-%28Lone-Fleabane%29.png"
"3403","Erigeron uncialis var. uncialis","Erigeron uncialis var. uncialis","Limestone Daisy",1,"Bees, Butterflies, Caterpillars","Perennial herb","","","","","","Pink, Yellow","","","","","","","","Never or Almost Never Available","","","","","","","","","","","","",NA,NA,4.83,19.56,"","","",NA,NA,NA,NA,"","Lone Fleabane","","","N","https://ucjeps.berkeley.edu/eflora/eflora_display.php?name=Erigeron+uncialis+var.+uncialis","https://calscape.org/Erigeron-uncialis-var.-uncialis-%28Limestone-Daisy%29","https://calscape.org/storage/app/media/qr/Erigeron-uncialis-var.-uncialis-%28Limestone-Daisy%29.png"
"3404","Erigeron utahensis","Erigeron utahensis","Utah Daisy",1,"Bees, Butterflies, Caterpillars","Perennial herb","","","","","","Lavender, Yellow","","","","","","","","Never or Almost Never Available","","","","","","","","","","","","",NA,NA,5.84,11.02,"","","",NA,NA,NA,NA,"","Utah Fleabane","","","N","https://ucjeps.berkeley.edu/eflora/eflora_display.php?name=Erigeron+utahensis","https://calscape.org/Erigeron-utahensis-%28Utah-Daisy%29","https://calscape.org/storage/app/media/qr/Erigeron-utahensis-%28Utah-Daisy%29.png"
"3405","Erigeron vagus","Erigeron vagus","Rambling Fleabane",8,"Bees, Butterflies, Caterpillars","Perennial herb","","","","","","White, Pink, Yellow","","","","","","","","Never or Almost Never Available","","","Meadow","Alpine Fell-Fields","","","","","","","","",NA,NA,10.32,84.2,"","","",NA,NA,NA,NA,"","Loose Daisy","","","N","https://ucjeps.berkeley.edu/eflora/eflora_display.php?name=Erigeron+vagus","https://calscape.org/Erigeron-vagus-%28Rambling-Fleabane%29","https://calscape.org/storage/app/media/qr/Erigeron-vagus-%28Rambling-Fleabane%29.png"
"3406","Eriochloa acuminata","Eriochloa acuminata","Tapertip Cupgrass",0,"","Grass","","","","","","Brown","","","","","","","","Never or Almost Never Available","","","","Agricultural Weed","","","","","","","","",NA,NA,NA,NA,"","","",NA,NA,NA,NA,"","","","","N","https://ucjeps.berkeley.edu/eflora/eflora_display.php?name=Eriochloa+acuminata","https://calscape.org/Eriochloa-acuminata-%28Tapertip-Cupgrass%29","https://calscape.org/storage/app/media/qr/Eriochloa-acuminata-%28Tapertip-Cupgrass%29.png"
"3407","Eriochloa acuminata var. acuminata","Eriochloa acuminata","Southwestern Cup Grass",0,"","Grass","","","","","","Brown","","","","","","","","Never or Almost Never Available","","","Wetland/Riparian","Agricultural Weed, Wetland-Riparian","","","","","","","","",NA,NA,2.8,33.28,"","","",NA,NA,NA,NA,"","Summer Grass","","","N","https://ucjeps.berkeley.edu/eflora/eflora_display.php?name=Eriochloa+acuminata+var.+acuminata","https://calscape.org/Eriochloa-acuminata-var.-acuminata-%28Southwestern-Cup-Grass%29","https://calscape.org/storage/app/media/qr/Eriochloa-acuminata-var.-acuminata-%28Southwestern-Cup-Grass%29.png"
"3408","Eriodictyon altissimum","Eriodictyon altissimum","Indian Knob Mountainbalm",2,"Butterflies, Caterpillars","Shrub","","7 - 13 ft","","","","White, Lavender","","","","","","","","Never or Almost Never Available","","","","","","","","","","","","",NA,NA,6.34,35.78,"","","",84,156,NA,NA,"","","","","N","https://ucjeps.berkeley.edu/eflora/eflora_display.php?name=Eriodictyon+altissimum","https://calscape.org/Eriodictyon-altissimum-%28Indian-Knob-Mountainbalm%29","https://calscape.org/storage/app/media/qr/Eriodictyon-altissimum-%28Indian-Knob-Mountainbalm%29.png"
"3409","Eriodictyon angustifolium","Eriodictyon angustifolium","Narrow Leaved Yerba Santa",0,"","Shrub","","7 ft","","","","White","","","Full Sun, Partial Shade","","","","","Never or Almost Never Available","","Hedge","Woodland","Pinyon-Juniper Woodland","","","","","","","","Washes, slopes",3384,7074,4.4,11.13,"Prefers sun, part shade. Likes sandy soils and slopes.","","",84,84,NA,NA,"Yerba Santa, Narrow Leaved","Narrowleaf Yerba Santa,Narrowleaf Yerbasanta,Yerba Santa","","Rare","N","https://ucjeps.berkeley.edu/eflora/eflora_display.php?name=Eriodictyon+angustifolium","https://calscape.org/Eriodictyon-angustifolium-%28Narrow-Leaved-Yerba-Santa%29","https://calscape.org/storage/app/media/qr/Eriodictyon-angustifolium-%28Narrow-Leaved-Yerba-Santa%29.png"
"3410","Eriodictyon californicum","Eriodictyon californicum","California Yerba Santa",5,"Bats, Butterflies, Caterpillars","Shrub","Upright","3 - 10 ft","3 ft","Fast, Moderate","Evergreen","Blue, Purple, Pink, White","Spring","Unpleasant","Full Sun, Partial Shade","Fast, Medium","Very Low","Max 2x / month once established","Easy","Commonly Available","<p>Grows in the wild with Foothill Pine (Pinus sabiniana), Whiteleaf Manzanita (Arctostaphylos viscida), Hollyleaf Redberry (Rhamnus ilicifolia), Fragrant Sumac (Rhus aromatica), Interior Live Oak (Quercus wislizenii), Mountain Mahogany (Cercocarpus betuloides), Buck Brush (Ceanothus cuneatus), and Blue Oak (Quercus douglasii). In the garden, it can be used with a variety of other chaparral shrubs.</p>","Hedge","Chaparral, Forest, Woodland","Chaparral, Foothill Woodland, Mixed Evergreen Forest, Northern Oak Woodland, Forest, Yellow Pine Forest","Tolerates cold to 5° F","7*, 8*, 9*, 14*, 15, 16, 17, 18*, 19*, 20*, 21*, 22*, 23*, 24","Tolerates a variety of soils as long as good drainage is provided","","5.5 - 7.6","Tolerates serpentine soil.","Organic with Rocks","Slopes and flats",0,8016,5.79,167.94,"<p>Plant in sandy, loamy or clay soils that are at least 6 inches deep, with a pH of 7-8. It is intolerant of anaerobic soils, intolerant of calcareous soils, and tolerant of infertile soils. Eriodictyon californicum is extremely drought tolerant. It requires a minimum of 9 inches of water per year, and a maximum of 24 inches of water per year once established. Requires fast draining soil. It does not tolerate full shade well. Prefers sun or part shade. Likes flats and slopes.</p>","","",36,120,36,36,"","Yerba Santa,California Mountain Balm","Wigandia californica","","N","https://ucjeps.berkeley.edu/eflora/eflora_display.php?name=Eriodictyon+californicum","https://calscape.org/Eriodictyon-californicum-%28California-Yerba-Santa%29","https://calscape.org/storage/app/media/qr/Eriodictyon-californicum-%28California-Yerba-Santa%29.png"
"3411","Eriodictyon capitatum","Eriodictyon capitatum","Lompoc Yerba Santa",2,"Butterflies, Caterpillars","Shrub","","10 ft","","","Evergreen","Lavender","","","","","","","","Never or Almost Never Available","","","","","","","","","","","","",NA,NA,13.71,27.83,"","","",120,120,NA,NA,"","","","","N","https://ucjeps.berkeley.edu/eflora/eflora_display.php?name=Eriodictyon+capitatum","https://calscape.org/Eriodictyon-capitatum-%28Lompoc-Yerba-Santa%29","https://calscape.org/storage/app/media/qr/Eriodictyon-capitatum-%28Lompoc-Yerba-Santa%29.png"
"3412","Eriodictyon crassifolium","Eriodictyon crassifolium","Thickleaf Yerba Santa",5,"Bats, Butterflies, Caterpillars","Shrub","Rounded, Upright Columnar","3 - 10 ft","3 - 6 ft","Fast, Moderate","Evergreen, Summer Semi-deciduous","Lavender, Brown","Spring","Pleasant","Full Sun","Fast, Medium","Low, Very Low","Max 1x / month once established","Easy","Commonly Available","Scrub Oaks, Manzanitas, Coyote Brush (Baccharis pilularis ssp. pilularis), Laurel Sumac (Malosma laurina), Chaparral Mallow (Malacothamnus fasciculatus), Bladderpod (Peritoma arborea), Toyon (Heteromeles arbutifolia), and Lemonade Berry","Hedge","Chaparral, Woodland","Chaparral, Lowland Chaparral, Pine-Juniper Woodland","","","Frequently in eroded sandstone or granitic soils","Loam, Loamy Sand, Sand, Sandy Loam","6.0 - 8.0","","Organic with Rocks","Slopes, washes, canyons, mesas, and bluffs as a component of shrub lands from the coast to the foothills between Santa Barbara and San Diego Counties. At higher elevations inland, also found with Pinyon-Juniper woodland",6,7087,0,53.32,"Prefers sun, part shade. Likes slopes and sandy soils.  This plant is extremely drought tolerant. After established, it should survive the dry months with no supplementary water.  It's moderately sensitive to pathogens that grow in warm moist soils.  It can usually handle summer watering as much as once per month.  If you do water during the summer, make sure you do it in the very early morning, and during a stretch of cooler days in the summer season.","","For propagating by seed:  Oven heat of 194&deg;F for 5 mins. (Went et al. 1952).",36,120,36,72,"Yerba Santa , Thickleaf","Thickleaf Yerbasanta","","","N","https://ucjeps.berkeley.edu/eflora/eflora_display.php?name=Eriodictyon+crassifolium","https://calscape.org/Eriodictyon-crassifolium-%28Thickleaf-Yerba-Santa%29","https://calscape.org/storage/app/media/qr/Eriodictyon-crassifolium-%28Thickleaf-Yerba-Santa%29.png"
"3413","Eriodictyon crassifolium var. crassifolium","Eriodictyon crassifolium var. crassifolium","Thick-leaved Yerba Santa",4,"Butterflies, Caterpillars","Shrub","","3 - 10 ft","","","","","","","","","Low, Very Low","","","Never or Almost Never Available","","","","","","","","","","","","",NA,NA,3.81,53.32,"","","",36,120,NA,NA,"","Thickleaf Yerba Santa","","","N","https://ucjeps.berkeley.edu/eflora/eflora_display.php?name=Eriodictyon+crassifolium+var.+crassifolium","https://calscape.org/Eriodictyon-crassifolium-var.-crassifolium-%28Thick-leaved-Yerba-Santa%29","https://calscape.org/storage/app/media/qr/Eriodictyon-crassifolium-var.-crassifolium-%28Thick-leaved-Yerba-Santa%29.png"
"3414","Eriodictyon crassifolium var. nigrescens","Eriodictyon crassifolium var. nigrescens","Bicolored Yerba Santa",3,"Butterflies, Caterpillars","Shrub","","3 - 10 ft","","","","","","","","","Low, Very Low","","","Never or Almost Never Available","","","","","","","","","","","","",NA,NA,0,53.32,"","","",36,120,NA,NA,"","Thickleaf Yerba Santa","","","N","https://ucjeps.berkeley.edu/eflora/eflora_display.php?name=Eriodictyon+crassifolium+var.+nigrescens","https://calscape.org/Eriodictyon-crassifolium-var.-nigrescens-%28Bicolored-Yerba-Santa%29","https://calscape.org/storage/app/media/qr/Eriodictyon-crassifolium-var.-nigrescens-%28Bicolored-Yerba-Santa%29.png"
"3415","Eriodictyon lobbii","Nama lobbii","Woolly Nama",1,"Bees, Butterflies, Caterpillars","Perennial herb","","6 - 19 in","","","","Pink, Purple","","","Full Sun, Partial Shade","Fast","","","","Never or Almost Never Available","","","Forest","Red Fir Forest, Yellow Pine Forest","","1, 2, 3, 7, 14, 15, 16, 18","","","","","","Dry, sandy or slopes and ridges",2530,9374,10.59,115.09,"Requires fast draining soil. Prefers sun or part shade. Likes dry sandy slopes.","","",6,19,NA,NA,"Nama, Woolly","Lobb's Fiddleleaf,Lobb's Nama","","","N","https://ucjeps.berkeley.edu/eflora/eflora_display.php?name=Eriodictyon+lobbii","https://calscape.org/Eriodictyon-lobbii-%28Woolly-Nama%29","https://calscape.org/storage/app/media/qr/Eriodictyon-lobbii-%28Woolly-Nama%29.png"
"3416","Eriodictyon parryi","Turricula parryi","Turricula",4,"Butterflies, Caterpillars","Perennial herb","","3 - 10 ft","","","","","","","Full Sun","","","","","Never or Almost Never Available","","","Chaparral, Forest","Chaparral, Yellow Pine Forest","","1, 2, 7, 8, 9, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24","","","","","","",847,9672,5.22,53.32,"Requires fast draining soil and prefers sun. Will tolerate sand and clay soils. Seeds usually germinate after a wildfire. Doesn't do well while in direct competition with grass seed, and often does poorly in garden settings.<br/>Note: avoid touching this plant as it is very toxic and can cause a severe skin irritation.","","",36,120,NA,NA,"","Common Turricula,Poodle-dog Bush","","","N","https://ucjeps.berkeley.edu/eflora/eflora_display.php?name=Eriodictyon+parryi","https://calscape.org/Eriodictyon-parryi-%28Turricula%29","https://calscape.org/storage/app/media/qr/Eriodictyon-parryi-%28Turricula%29.png"
"3417","Eriodictyon tomentosum","Eriodictyon tomentosum","Woolly Yerba Santa",4,"Butterflies, Caterpillars","Shrub","","3 - 10 ft","","","","Lavender","","","Full Sun, Partial Shade","","Low, Very Low","","Moderate","Rarely Available","","Hedge","Chaparral, Woodland","Chaparral, Foothill Woodland","","7*, 8, 9, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24","","","","","","Slopes, ridges, ravines, disturbed places,",428,4840,7.68,55.82,"Requires fast draining soil. Prefers sun, part shade. Likes slopes.","","",36,120,NA,NA,"Yerba Santa , Woolly","","","","N","https://ucjeps.berkeley.edu/eflora/eflora_display.php?name=Eriodictyon+tomentosum","https://calscape.org/Eriodictyon-tomentosum-%28Woolly-Yerba-Santa%29","https://calscape.org/storage/app/media/qr/Eriodictyon-tomentosum-%28Woolly-Yerba-Santa%29.png"
"3418","Eriodictyon traskiae","Eriodictyon traskiae","Pacific Yerba Santa",2,"Butterflies, Caterpillars","Shrub","","4 - 7 ft","","","","White, Purple, Brown","","","Full Sun","","Very Low","","Moderate","Rarely Available","","Hedge","Chaparral","Chaparral","","7, 8, 9, 14, 15, 16, 17, 18, 19, 20, 21, 22*, 23*, 24*","","","","","","Slopes",177,5013,7.4,51,"Requires fast draining soil. Prefers sun. Likes slopes.","","For propagating by seed:  Fire treatment gives some germination. Oven heat of 194&deg;F for 5 mins. might improve germination.",48,84,NA,NA,"Yerba Santa , Pacific","Trask's Yerba Santa","","Uncommon","N","https://ucjeps.berkeley.edu/eflora/eflora_display.php?name=Eriodictyon+traskiae","https://calscape.org/Eriodictyon-traskiae-%28Pacific-Yerba-Santa%29","https://calscape.org/storage/app/media/qr/Eriodictyon-traskiae-%28Pacific-Yerba-Santa%29.png"
"3419","Eriodictyon traskiae var. smithii","Eriodictyon traskiae subsp. smithii","Smith's Yerba Santa",2,"Butterflies, Caterpillars","Shrub","","","","","","","","","","","","","","Never or Almost Never Available","","","","","","","","","","","","",NA,NA,10.57,51,"","","",NA,NA,NA,NA,"","","Eriodictyon traskiae ssp. smithii","","N","https://ucjeps.berkeley.edu/eflora/eflora_display.php?name=Eriodictyon+traskiae+var.+smithii","https://calscape.org/Eriodictyon-traskiae-var.-smithii-%28Smith%27s-Yerba-Santa%29","https://calscape.org/storage/app/media/qr/Eriodictyon-traskiae-var.-smithii-%28Smith%27s-Yerba-Santa%29.png"
"3420","Eriodictyon traskiae var. traskiae","Eriodictyon traskiae subsp. traskiae","Trask's Yerba Santa",1,"Butterflies, Caterpillars","Shrub","","","","","","","","","","","","","","Never or Almost Never Available","","","","","","","","","","","","",NA,NA,11.54,14.86,"","","",NA,NA,NA,NA,"","","Eriodictyon traskiae ssp. traskiae","","N","https://ucjeps.berkeley.edu/eflora/eflora_display.php?name=Eriodictyon+traskiae+var.+traskiae","https://calscape.org/Eriodictyon-traskiae-var.-traskiae-%28Trask%27s-Yerba-Santa%29","https://calscape.org/storage/app/media/qr/Eriodictyon-traskiae-var.-traskiae-%28Trask%27s-Yerba-Santa%29.png"
"3421","Eriodictyon trichocalyx","Eriodictyon trichocalyx","Hairy Yerba Santa",3,"Butterflies, Caterpillars","Shrub","Upright","3 - 7 ft","2 - 6 ft","Fast","Evergreen","White, Purple","Spring","","Partial Shade, Full Sun","Fast","Very Low","Max 2x / month once established","","Sometimes Available","This plant is best used in arid mountain or high desert gardens. <br><br>Trees: Joshua Tree (Yucca brevifolia), California Fan Palm (Washingtonia filifera), Blue Paloverde (Parkinsonia florida), Pinyon Pine (Pinus edulis or monophylla), California Juniper (Juniperus californica), and Yellow Pine (Pinus ponderosa)<br><br>Other Plants: Desert Willow (Chilopsis linearis),, Creosote Bush (Larrea tridentata), Ocotillo (Fouquieria splendens), Jojoba (Simmondsia chinensis), White Bursage (Ambrosia dumosa), Chuparosa (Justicia californica), Barrel Cactus (Ferocactus cylindraceus), Desert Agave (Agave deserti), Brittlebush (Encelia farinosa), Apricot Mallow (Sphaeralcea ambigua), Desert Lavendar (Condea emoryi), and various cactus species, or with any chaparral plantsand various cactus species, or with any chaparral plants","Bank stabilization, Hedge","Chaparral, Desert, Forest, Woodland","Chaparral, Joshua Tree Woodland, Pinyon-Juniper Woodland, Yellow Pine Forest","Tolerates cold to 0&deg; F","","Typically sandy or decomposed granite","","6.0 - 7.2","","Inorganic","Slopes, mesas, ravines, grassy places in dry mountain and desert transition zone",371,9165,3,53.32,"Prefers part shade. Likes slopes.","","For propagating by seed: Oven heat of 194&deg;F for 5 ruins. (Went et al. 1952). Alternative treatment for Eriodictvon species: soak seeds 24 hrs. in 1000 ppm potassium gibberellate (""Gibrel"" growth substance; Merck & Co., Chem. Div. Rahway, n.J.J, then sow or dry and store in refrigerator for up to 6 mos. before spring (Francis Ching, personal communication 1962).",36,84,24,72,"Yerba Santa, Hairy","","","","N","https://ucjeps.berkeley.edu/eflora/eflora_display.php?name=Eriodictyon+trichocalyx","https://calscape.org/Eriodictyon-trichocalyx-%28Hairy-Yerba-Santa%29","https://calscape.org/storage/app/media/qr/Eriodictyon-trichocalyx-%28Hairy-Yerba-Santa%29.png"
"3422","Eriodictyon trichocalyx var. lanatum","Eriodictyon trichocalyx var. lanatum","San Diego Yerba Santa",2,"Butterflies, Caterpillars","Shrub","","7 ft","","","","","","","","","Very Low","","","Never or Almost Never Available","","","","","","","","","","","","",NA,NA,3.52,33.21,"","","",84,84,NA,NA,"","Hairy Yerba Santa","","","N","https://ucjeps.berkeley.edu/eflora/eflora_display.php?name=Eriodictyon+trichocalyx+var.+lanatum","https://calscape.org/Eriodictyon-trichocalyx-var.-lanatum-%28San-Diego-Yerba-Santa%29","https://calscape.org/storage/app/media/qr/Eriodictyon-trichocalyx-var.-lanatum-%28San-Diego-Yerba-Santa%29.png"
"3423","Eriodictyon trichocalyx var. trichocalyx","Eriodictyon trichocalyx var. trichocalyx","Hairy Yerba Santa",3,"Butterflies, Caterpillars","Shrub","","7 ft","","","","","","","","","Very Low","","","Never or Almost Never Available","","","","","","","","","","","","",NA,NA,3.52,53.32,"","","",84,84,NA,NA,"","","","","N","https://ucjeps.berkeley.edu/eflora/eflora_display.php?name=Eriodictyon+trichocalyx+var.+trichocalyx","https://calscape.org/Eriodictyon-trichocalyx-var.-trichocalyx-%28Hairy-Yerba-Santa%29","https://calscape.org/storage/app/media/qr/Eriodictyon-trichocalyx-var.-trichocalyx-%28Hairy-Yerba-Santa%29.png"
"3424","Eriogonum alpinum","Eriogonum alpinum","Trinity Buckwheat",21,"Bees, Butterflies, Caterpillars","Perennial herb","","0.8 - 6 in","","","","Cream, Pink, White, Yellow, Green","","","","","Low, Very Low","","","Never or Almost Never Available","","","","","","","","","","","","",NA,NA,10.4,87.41,"","","",0.8,6,NA,NA,"","","","","N","https://ucjeps.berkeley.edu/eflora/eflora_display.php?name=Eriogonum+alpinum","https://calscape.org/Eriogonum-alpinum-%28Trinity-Buckwheat%29","https://calscape.org/storage/app/media/qr/Eriogonum-alpinum-%28Trinity-Buckwheat%29.png"
"3425","Eriogonum ampullaceum","Eriogonum ampullaceum","Mono Wild Buckwheat",27,"Bees, Butterflies, Caterpillars","Annual herb","","4 - 12 in","","","","Cream, Pink, White, Yellow, Red","","","","","Low, Very Low","","","Never or Almost Never Available","","","Desert","Sagebrush Scrub","","","","","","","","",NA,NA,4.84,32.8,"","","",4,12,NA,NA,"","Mono Buckwheat","","","N","https://ucjeps.berkeley.edu/eflora/eflora_display.php?name=Eriogonum+ampullaceum","https://calscape.org/Eriogonum-ampullaceum-%28Mono-Wild-Buckwheat%29","https://calscape.org/storage/app/media/qr/Eriogonum-ampullaceum-%28Mono-Wild-Buckwheat%29.png"
"3426","Eriogonum angulosum","Eriogonum angulosum","Angle-stem Wild Buckwheat",46,"Bees, Butterflies, Caterpillars","Annual herb","","4 - 36 in","","","","Cream, Pink, White","","","","","Low, Very Low","","","Never or Almost Never Available","","","Desert, Grassland, Woodland","Foothill Woodland, Joshua Tree Woodland, Pinyon-Juniper Woodland, Valley Grassland","","","","","","","","",NA,NA,0,57.27,"","","",4,36,NA,NA,"","Anglestem Buckwheat","","","N","https://ucjeps.berkeley.edu/eflora/eflora_display.php?name=Eriogonum+angulosum","https://calscape.org/Eriogonum-angulosum-%28Angle-stem-Wild-Buckwheat%29","https://calscape.org/storage/app/media/qr/Eriogonum-angulosum-%28Angle-stem-Wild-Buckwheat%29.png"
