"","Name_submitted","Accepted_name","Accepted.Symbol","Synonym.Symbol","Symbol","PLANTS.Floristic.Area","State.and.Province","Category","Family","Duration","Growth.Habit","Native.Status","Characteristics.Data","Active.Growth.Period","After.Harvest.Regrowth.Rate","Bloat","C.N.Ratio","Coppice.Potential","Fall.Conspicuous","Fire.Resistance","Flower.Color","Flower.Conspicuous","Foliage.Color","Foliage.Porosity.Summer","Foliage.Porosity.Winter","Foliage.Texture","Fruit.Color","Fruit.Conspicuous","Growth.Form","Growth.Rate","Height.at.Base.Age..Maximum..feet.","Height..Mature..feet.","Known.Allelopath","Leaf.Retention","Lifespan","Low.Growing.Grass","Nitrogen.Fixation","Resprout.Ability","Shape.and.Orientation","Toxicity","Adapted.to.Coarse.Textured.Soils","Adapted.to.Medium.Textured.Soils","Adapted.to.Fine.Textured.Soils","Anaerobic.Tolerance","CaCO.SUB.3..SUB..Tolerance","Cold.Stratification.Required","Drought.Tolerance","Fertility.Requirement","Fire.Tolerance","Frost.Free.Days..Minimum","Hedge.Tolerance","Moisture.Use","pH..Minimum.","pH..Maximum.","Planting.Density.per.Acre..Minimum","Planting.Density.per.Acre..Maximum","Precipitation..Minimum.","Precipitation..Maximum.","Root.Depth..Minimum..inches.","Salinity.Tolerance","Shade.Tolerance","Temperature..Minimum..F.","Bloom.Period","Commercial.Availability","Fruit.Seed.Abundance","Fruit.Seed.Period.Begin","Fruit.Seed.Period.End","Fruit.Seed.Persistence","Propogated.by.Bare.Root","Propogated.by.Bulbs","Propogated.by.Container","Propogated.by.Corms","Propogated.by.Cuttings","Propogated.by.Seed","Propogated.by.Sod","Propogated.by.Sprigs","Propogated.by.Tubers","Seeds.per.Pound","Seed.Spread.Rate","Seedling.Vigor","Small.Grain","Vegetative.Spread.Rate","Berry.Nut.Seed.Product","Christmas.Tree.Product","Fodder.Product","Fuelwood.Product","Lumber.Product","Naval.Store.Product","Nursery.Stock.Product","Palatable.Browse.Animal","Palatable.Graze.Animal","Palatable.Human","Post.Product","Protein.Potential","Pulpwood.Product","Veneer.Product"
"891","Gossypium tomentosum","Gossypium tomentosum","GOTO",NA,"GOTO","HI","USA(HI)","Dicot","Malvaceae","Perennial","Shrub","HI(N)","Yes","Year Round",NA,"None","High","No","No","No","Yellow","Yes","Green","Dense","Dense","Medium","Brown","Yes","Single Stem","Moderate",6,6,"No","Yes","Long","No","None","Yes","Semi-Erect","None","Yes","Yes","Yes","None","Medium","No","High","Medium","Medium",365,"Medium","Medium",6,7,2000,10000,15,35,16,"None","Intermediate",50,"Indeterminate","Routinely Available","Medium","Year Round","Year Round","Yes","Yes","No","Yes","No","No","Yes","No","No","No",8800,"Moderate","Medium","No","Moderate","No","No","No",NA,"No","No","Yes",NA,NA,"No","No",NA,"No","No"
"892","Grayia spinosa","Grayia spinosa","GRSP",NA,"GRSP","NA (L48)","USA(AZ, CA, CO, ID, MT, NM, NV, OR, UT, WA, WY)","Dicot","Chenopodiaceae","Perennial","Subshrub, Shrub","L48(N)","Yes","Fall, Winter and Spring",NA,"None","High","No","No","No","Red","No","White-Gray","Moderate","Moderate","Coarse","White","No","Multiple Stem","Slow",3,3,"No","Yes","Long","No","None","No","Semi-Erect","None","Yes","Yes","Yes","None","High","Yes","High","Low","Medium",160,"None","Low",6.5,9,700,2200,8,25,20,"High","Intolerant",-33,"Late Spring","Contracting Only","Medium","Summer","Summer","No","Yes","No","Yes","No","No","Yes","No","No","No",346991,"Slow","Low","No","None","No","No","No",NA,"No","No","No","High","Low","No","No","Medium","No","No"
"893","Grevillea robusta","Grevillea robusta","GRRO",NA,"GRRO","NA (L48), HI, PR","USA+(PR), USA(FL, HI)","Dicot","Proteaceae","Perennial","Tree","L48(I)HI(I)PR(I)","Yes","Spring, Summer, Fall",NA,"None","High","Yes","No","No","Yellow","Yes","Green","Dense","Dense","Fine","Brown","Yes","Single Stem","Rapid",100,105,"No","Yes","Moderate","No","None","Yes","Erect","Slight","Yes","Yes","Yes","None","None","Yes","Medium","Medium","Low",365,"Low","Medium",5.3,7,300,800,30,95,36,"None","Intolerant",17,"Summer","Routinely Available","Low","Fall","Winter","Yes","Yes","No","Yes","No","No","Yes","No","No","No",30000,"Rapid","High","No","None","No","No","No",NA,"Yes","No","Yes",NA,NA,"No","No",NA,"No","Yes"
"894","Guaiacum officinale","Guaiacum officinale","GUOF",NA,"GUOF","NA (L48), PR, VI","USA+(PR, VI), USA(FL)","Dicot","Zygophyllaceae","Perennial","Tree","L48(N)PR(N)VI(N)","Yes","Spring",NA,"None",NA,"No","No","No","Blue","Yes","Green","Dense","Dense",NA,"Brown","Yes","Single Crown","Slow",45,30,"No","Yes",NA,"No","None","No","Rounded",NA,"Yes","Yes","No","Low","Medium","No",NA,"Medium",NA,365,"Low",NA,6,8,320,640,40,60,36,NA,"Intolerant",40,"Spring","Routinely Available",NA,"Spring","Fall","Yes","Yes","No","Yes","No","No","Yes","No","No","No",1461,NA,NA,"No",NA,"No","No","No",NA,"No","No","Yes",NA,NA,"No","No",NA,"No","No"
"895","Guaiacum sanctum","Guaiacum sanctum","GUSA",NA,"GUSA","NA (L48), PR","USA+(PR), USA(FL)","Dicot","Zygophyllaceae","Perennial","Shrub, Tree","L48(N)PR(N)","Yes","Spring",NA,"None",NA,"No","No","No","Blue","Yes","Green","Dense","Dense","Medium","Yellow","Yes",NA,"Slow",15,30,"No","Yes",NA,"No","None","No","Rounded",NA,"Yes","No","Yes","Low","Medium","No","Medium","Medium","Medium",365,"Low",NA,6,8.5,320,640,34,60,36,NA,NA,36,"Spring",NA,NA,"Spring","Fall","Yes","No","No","No","No","No","Yes","No","No","No",44000,NA,NA,"No",NA,"No","No","No",NA,"Yes","No","No","Low","Low","No","Yes",NA,"No","Yes"
"896","Guarea guidonia","Guarea guidonia","GUGU",NA,"GUGU","PR, VI","USA+(PR, VI)","Dicot","Meliaceae","Perennial","Shrub, Tree","PR(N)VI(N)","Yes","Fall",NA,"None",NA,"No","No","No","White","Yes","Green","Moderate","Moderate",NA,"Brown","Yes",NA,"Slow",40,10,"No","No","Short","No","None","No","Erect",NA,"Yes","No","No",NA,NA,"No",NA,"Medium","Medium",365,"Low",NA,6,8,320,640,NA,NA,24,NA,NA,40,"Spring",NA,NA,"Spring","Summer","No","No","No","No","No","No","Yes","No","No","No",4607,NA,NA,"No",NA,"No","No","No",NA,"Yes","No","No",NA,NA,"Yes","No",NA,"No","No"
"897","Gutierrezia sarothrae","Gutierrezia sarothrae","GUSA2",NA,"GUSA2","NA (L48, CAN)","CAN(AB, MB, SK), USA(AZ, CA, CO, ID, KS, MN, MT, ND, NE, NM, NV, NY, OK, OR, SC, SD, TX, UT, WA, WY)","Dicot","Asteraceae","Perennial","Subshrub, Shrub, Forb/herb","L48(N)CAN(N)","Yes","Spring and Summer","Slow","None","High","No","No","No","Yellow","No","Green","Porous","Porous","Coarse","Brown","Yes","Single Crown","Moderate",NA,2,"No","No","Moderate","No","None","No","Erect","Slight","Yes","Yes","Yes","None","Medium","No","High","Low","Medium",140,"None","Medium",6,8,NA,NA,7,30,16,"Low","Intolerant",-38,"Early Summer","Contracting Only","Medium","Summer","Fall","Yes","No","No","No","No","No","Yes","No","No","No",225000,"Rapid","Medium","No","None","No","No","No",NA,"No","No","No","Low","Low","No","No","Low","No","No"
"898","Gymnocladus dioicus","Gymnocladus dioicus","GYDI",NA,"GYDI","NA (L48, CAN)","CAN(ON), USA(AL, AR, CT, DE, GA, IA, IL, IN, KS, KY, MA, MD, ME, MI, MN, MO, MS, NC, ND, NE, NJ, NY, OH, OK, PA, SC, SD, TN, TX, VA, WI, WV)","Dicot","Fabaceae","Perennial","Tree","L48(N)CAN(N)","Yes","Spring and Summer",NA,"None","Low","No","No","Yes","White","Yes","Green","Moderate","Porous","Coarse","Green","Yes",NA,"Slow",25,100,"No","No","Long","No","Low","Yes","Rounded","Severe","Yes","Yes","Yes","None",NA,"No","Medium","Low","Low",NA,"None","Medium",6,8,320,640,NA,NA,36,"Medium","Intolerant",-32,"Early Summer","Field Collections Only","Medium","Fall","Spring","Yes","Yes","No","Yes","No","Yes","Yes","No","No","No",230,"Slow","Medium","No","Slow","No","No","Yes","Low","Yes","No","Yes","Low","Low","No","Yes","High","No","No"
"899","Gynerium sagittatum","Gynerium sagittatum","GYSA",NA,"GYSA","PR","USA+(PR)","Monocot","Poaceae","Perennial","Graminoid","PR(N)","Yes","Spring","Moderate","None","Low","No","No","No",NA,"No","Green","Moderate","Porous","Fine",NA,"No","Rhizomatous","Rapid",NA,23,"No","No","Short","Yes","None","No","Erect","None","No","No","No","High",NA,"No","Medium","Medium",NA,365,"None","High",6,8.5,5120,20000,43,134,12,NA,"Intermediate",40,"Summer",NA,NA,NA,NA,"Yes","No","No","No","No","Yes","Yes","Yes","No","No",1666,NA,"High","Yes",NA,"No","No","Yes",NA,"No","No","No","Medium","Medium","Yes","No",NA,"No","No"
"900","Halesia carolina","Halesia carolina","HACA3",NA,"HACA3","NA (L48)","USA(AL, FL, GA, MS, NY, SC)","Dicot","Styracaceae","Perennial","Shrub, Tree","L48(N)","Yes","Spring and Summer",NA,"None","High","No","Yes","No","White","Yes","Green","Moderate","Porous","Medium","Red","No","Single Stem","Moderate",20,30,"No","No","Moderate","No","None","Yes","Erect","None","Yes","Yes","No","Medium","Low","Yes","Low","Medium","Low",160,"None","Medium",4.7,7,300,800,40,80,40,"None","Tolerant",-10,"Mid Spring","No Known Source","High","Summer","Fall","Yes","Yes","No","Yes","No","Yes","Yes","No","No","No",1600,"Slow","Medium","No","None","No","No","No",NA,"Yes","No","No","Low","Low","No","No",NA,"Yes","Yes"
"901","Halesia diptera","Halesia diptera","HADI3",NA,"HADI3","NA (L48)","USA(AL, AR, FL, GA, LA, MS, SC, TX)","Dicot","Styracaceae","Perennial","Tree, Shrub","L48(N)","Yes","Spring",NA,"None",NA,"No","Yes","No","White","Yes","Green","Moderate","Porous","Coarse",NA,"No","Single Stem","Moderate",NA,15,"No","No",NA,"No","None","No","Erect",NA,"No","Yes","Yes","Medium","Low","No","Low","Low",NA,247,"Low",NA,6,8,320,640,33,68,36,"None","Intermediate",10,"Spring",NA,NA,NA,NA,"No","No","No","No","No","Yes","No","No","No","No",1500,NA,NA,"No",NA,"No","No","No",NA,"No","No","Yes",NA,NA,"Yes","No",NA,"No","No"
"902","Hamamelis virginiana","Hamamelis virginiana","HAVI4",NA,"HAVI4","NA (L48, CAN)","CAN(NB, NS, ON, PE, QC), USA(AL, AR, CT, DC, DE, FL, GA, IA, IL, IN, KY, LA, MA, MD, ME, MI, MN, MO, MS, NC, NH, NJ, NY, OH, OK, PA, RI, SC, TN, TX, VA, VT, WI, WV)","Dicot","Hamamelidaceae","Perennial","Tree, Shrub","L48(N)CAN(N)","Yes","Spring and Summer",NA,"None","Medium","No","No","No","Yellow","Yes","Green","Dense","Porous","Coarse","Brown","Yes","Multiple Stem","Slow",15,20,"No","No","Long","No","None","Yes","Semi-Erect","None","No","Yes","Yes","Low","Low","Yes","Low","Medium","High",120,"Low","Medium",4.5,6.2,1200,2700,30,60,20,"None","Intermediate",-28,"Fall","Routinely Available","Low","Spring","Summer","Yes","Yes","No","Yes","No","No","Yes","No","No","No",11000,"Slow","High","No","None","Yes","No","No",NA,"No","No","No","Low","Medium","Yes","No","Low","No","No"
"903","Hedera helix","Hedera helix","HEHE",NA,"HEHE","NA (L48, CAN), HI","CAN(BC), USA(AL, AR, AZ, CA, CT, DC, DE, FL, GA, HI, ID, IL, IN, KY, LA, MA, MD, MI, MO, MS, NC, NJ, NY, OH, OR, PA, SC, TN, TX, UT, VA, WA, WV)","Dicot","Araliaceae","Perennial","Vine","L48(I)HI(I)CAN(I)","Yes","Spring and Summer",NA,"None","High","No","No","Yes",NA,"No","Green","Porous","Porous","Coarse",NA,"No","Stoloniferous","Moderate",NA,5,"No","No","Long","No","None","No","Prostrate","None","Yes","Yes","Yes","None","Medium","No","Low","Medium","High",160,"None","Medium",5.2,7.8,2700,10000,28,65,12,"Low","Tolerant",-23,"Late Spring","Routinely Available",NA,NA,NA,"No","Yes","No","Yes","No","Yes","No","No","No","No",NA,"None",NA,"No","Rapid","No","No","No",NA,"No","No","Yes","Low","Low","No","No","Low","No","No"
"904","Hedysarum alpinum","Hedysarum alpinum","HEAL",NA,"HEAL","NA (L48, AK, CAN)","CAN(AB, BC, LB, MB, NB, NF, NT, NU, ON, QC, SK, YT), USA(AK, ME, MI, MT, ND, NE, NH, RI, SD, VT, WY)","Dicot","Fabaceae","Perennial","Forb/herb","L48(N)AK(N)CAN(N)","Yes","Spring and Summer","Rapid","Low","Medium","No","Yes","No","Purple","Yes","Green","Dense","Dense","Fine","Brown","No","Rhizomatous","Rapid",NA,2,"No","No","Short","No","Low","No","Erect","None","Yes","Yes","No","Low","Low","Yes","Low","Low","Medium",120,"High","Medium",6,8,5120,20000,28,80,12,"None","Intolerant",-62,"Early Summer","Routinely Available","High",NA,NA,"No","No","No","Yes","No","No","Yes","Yes","No","No",70000,"Moderate",NA,"No","Moderate","No","No","Yes",NA,"No","No","Yes","High","High","Yes","No","High","No","No"
"905","Hedysarum boreale","Hedysarum boreale","HEBO",NA,"HEBO","NA (L48, AK, CAN)","CAN(AB, BC, MB, NF, NT, NU, ON, QC, SK, YT), USA(AK, AZ, CO, ID, MT, ND, NM, NV, OK, OR, SD, TX, UT, WA, WY)","Dicot","Fabaceae","Perennial","Forb/herb","L48(N)AK(N)CAN(N)","Yes","Spring and Summer","Slow","None","Low","No","No","No","Red","Yes","Green","Porous","Porous","Fine","Brown","No","Single Crown","Moderate",NA,2,"No","No","Moderate","No","Medium","No","Semi-Erect","None","Yes","Yes","Yes","None","Low","No","High","Low","High",120,"None","Medium",5.2,8,NA,NA,12,18,16,"Low","Intolerant",-38,"Late Spring","Routinely Available","Medium","Spring","Summer","No","No","No","No","No","No","Yes","No","No","No",46313,"Moderate","Low","No","None","No","No","Yes",NA,"No","No","No","High","High","No","No","Medium","No","No"
"906","Hedysarum boreale ssp. boreale var. boreale","Hedysarum boreale subsp. boreale","HEBOB2",NA,"HEBOB2","NA (L48, CAN)","CAN(AB, BC, SK), USA(AZ, CO, ID, MT, ND, NM, NV, OK, OR, SD, TX, UT, WY)","Dicot","Fabaceae","Perennial","Forb/herb","L48(N)CAN(N)","Yes","Spring and Summer","Slow","None","Low","No","No","No","Red","Yes","Green","Porous","Porous","Fine","Brown","No","Single Crown","Moderate",NA,2,"No","No","Moderate","No","Medium","No","Semi-Erect","None","Yes","Yes","Yes","None","Low","No","High","Low","High",120,"None","Medium",5.2,8,NA,NA,10,36,18,"Low","Intolerant",-23,"Mid Spring","No Known Source","Medium","Spring","Summer","No","No","No","No","No","No","Yes","No","No","No",46313,"Moderate","Low","No","None","No","No","Yes",NA,"No","No","No","High","High","No","No","Medium","No","No"
"907","Hedysarum sulphurescens","Hedysarum sulphurescens","HESU",NA,"HESU","NA (L48, CAN)","CAN(AB, BC), USA(ID, MT, OR, WA, WY)","Dicot","Fabaceae","Perennial","Forb/herb","L48(N)CAN(N)","Yes","Spring and Summer","Slow","Low","Low","No","No","No","White","Yes","Green","Porous","Porous","Fine","Brown","No","Multiple Stem","Moderate",NA,2,"No","No","Long","No","Low","No","Decumbent","None","No","Yes","No","None","Medium","Yes","High","Low","Medium",90,"None","Low",6,7.5,NA,NA,10,20,12,"Low","Intermediate",-33,"Late Spring","No Known Source","Medium","Summer","Summer","No","No","No","No","No","No","Yes","No","No","No",72570,"Slow","Low","No","None","No","No","No",NA,"No","No","No","Medium","High","No","No","Medium","No","No"
"908","Helenium autumnale","Helenium autumnale","HEAU",NA,"HEAU","NA (L48, CAN)","CAN(AB, BC, MB, NT, ON, QC, SK), USA(AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY)","Dicot","Asteraceae","Perennial","Forb/herb","L48(N)CAN(N)","Yes","Spring and Summer","Slow","None",NA,"No","No","No","Yellow","Yes","Green","Moderate","Porous","Fine","Brown","No","Single Stem","Rapid",NA,5,"No","No","Moderate","No","None","No","Erect","Severe","Yes","Yes","Yes","Low","High","No","Low","Low","None",100,"None","Medium",4,7.5,19212,27000,10,60,6,"Low","Intolerant",-43,"Fall","Routinely Available","Medium","Fall","Fall","No","Yes","No","No","No","No","Yes","No","No","No",1464516,"Rapid","High","No","None","No","No","No",NA,"No","No","No","Low","Low","No","No",NA,"No","No"
"909","Helenium flexuosum","Helenium flexuosum","HEFL",NA,"HEFL","NA (L48, CAN)","CAN(NS, ON, QC), USA(AL, AR, CT, DC, DE, FL, GA, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, NC, NH, NJ, NY, OH, OK, PA, RI, SC, TN, TX, VA, VT, WI, WV)","Dicot","Asteraceae","Perennial","Forb/herb","L48(N)CAN(I)","Yes","Spring","Slow","None",NA,"No","No","No","Yellow","Yes","Green","Moderate","Porous","Medium","Brown","No","Multiple Stem","Moderate",NA,3,"No","No","Short","No","None","No","Erect","None","Yes","Yes","Yes","None","Low","No","Medium","Medium","Low",140,"None","Low",4.5,7.5,3450,10912,20,60,6,"None","Intolerant",-28,"Summer","Routinely Available","High","Summer","Fall","No","Yes","No","No","No","No","Yes","No","No","No",2000000,"Moderate","High","No","None","No","No","No",NA,"No","No","No","Medium","Medium","No","No",NA,"No","No"
"910","Helianthella uniflora","Helianthella uniflora","HEUN",NA,"HEUN","NA (L48, CAN)","CAN(BC), USA(CO, ID, MT, NM, NV, OR, UT, WA, WY)","Dicot","Asteraceae","Perennial","Forb/herb","L48(N)CAN(N)","Yes","Spring and Summer","Rapid","None","Medium","No","No","Yes","Yellow","Yes","Green","Porous","Porous","Coarse","Brown","No","Multiple Stem","Rapid",NA,2,"No","No","Short","No","None","No","Erect","None","Yes","No","No","None","High","No","High","Low","High",120,"High","Low",7,8,NA,NA,10,35,6,"None","Intermediate",-23,"Spring","Contracting Only","High","Summer","Fall","No","No","No","No","No","No","Yes","No","No","No",41087,"Rapid","High","No","None","No","No","No",NA,"No","No","Yes","Low","Low","No","No","Medium","No","No"
"911","Helianthus angustifolius","Helianthus angustifolius","HEAN2",NA,"HEAN2","NA (L48)","USA(AL, AR, DC, DE, FL, GA, IL, IN, KY, LA, MD, MO, MS, NC, NJ, NY, OH, OK, PA, SC, TN, TX, VA, WV)","Dicot","Asteraceae","Perennial","Forb/herb","L48(N)","Yes","Spring and Summer","Slow","None",NA,"No","Yes","No","Yellow","Yes","Dark Green","Moderate","Porous","Medium","Brown","No","Rhizomatous","Moderate",NA,6,"No","No","Moderate","No","None","No","Erect","None","Yes","Yes","No","None","Medium","No","Medium","Low","Medium",160,"None","Medium",4,7,3450,10912,25,65,6,"None","Intermediate",-28,"Late Summer","Routinely Available","Medium","Summer","Fall","No","No","No","No","No","No","Yes","No","Yes","No",504000,"Moderate","Medium","No","Moderate","No","No","No",NA,"No","No","No","High","High","No","No",NA,"No","No"
"912","Helianthus annuus","Helianthus annuus","HEAN3",NA,"HEAN3","NA (L48, AK, CAN, PR, SPM), HI","CAN(AB, BC, MB, NB, NS, NT, ON, PE, QC, SK), FRA(SB), USA+(PR), USA(AK, AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY)","Dicot","Asteraceae","Annual","Forb/herb","L48(N)AK(I)HI(I)PR(I)CAN(I)SPM(I)","Yes","Summer",NA,"None",NA,"No","Yes","No","Yellow","Yes","Green","Porous","Moderate","Coarse","Blue","Yes","Single Crown","Rapid",NA,9,"No","No",NA,"No","None","No","Erect","None","Yes","Yes","Yes","Low","Medium","No","Medium","Low","None",80,"None","Medium",5.5,7.8,4800,11000,12,60,8,"Medium","Intolerant",52,"Summer","Routinely Available","High","Summer","Fall","Yes","No","No","No","No","No","Yes","No","No","No",46919,"Moderate","Low","No","None","No","No","Yes",NA,"No","No","No","Medium","Medium","Yes","No","Medium","No","No"
"913","Helianthus debilis","Helianthus debilis","HEDE4",NA,"HEDE4","NA (L48)","USA(AL, CT, FL, GA, LA, MA, MD, ME, MI, MS, NC, NH, PA, RI, SC, TX, VA, VT, WV)","Dicot","Asteraceae","Annual, Perennial","Forb/herb","L48(N)","Yes","Spring and Summer","Slow","None","Medium","No","Yes","Yes","Yellow","Yes","Green","Porous","Porous","Coarse","Brown","No","Stoloniferous","Slow",NA,0,"No","No","Moderate","No","None","No","Prostrate","None","Yes","Yes","No","Low","High","No","Medium","Medium","Medium",300,"None","Medium",5.2,7.2,11000,18000,35,60,14,"Medium","Intolerant",22,"Summer","No Known Source","Low","Summer","Fall","No","No","No","No","No","No","Yes","No","Yes","No",324000,"Slow","Low","No","Rapid","No","No","No",NA,"No","No","No","Low","Low","No","No",NA,"No","No"
"914","Helianthus grosseserratus","Helianthus grosseserratus","HEGR4",NA,"HEGR4","NA (L48, CAN)","CAN(ON, QC), USA(AR, CT, DE, GA, IA, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, NC, ND, NE, NH, NJ, NM, NY, OH, OK, PA, SD, TN, TX, VA, WA, WI, WV)","Dicot","Asteraceae","Perennial","Forb/herb","L48(N)CAN(I)","Yes","Spring, Summer, Fall","Slow","None","Medium","No","Yes","No","Yellow","Yes","Dark Green","Moderate","Porous","Coarse","Brown","No","Rhizomatous","Moderate",NA,5,"No","No","Moderate","No","None","No","Erect","None","Yes","Yes","Yes","None","Medium","Yes","Medium","Medium","Medium",90,"None","Medium",5.8,7.3,11000,18000,20,40,12,"None","Intolerant",-43,"Late Summer","Routinely Available","High","Summer","Fall","No","Yes","No","Yes","No","No","Yes","No","No","No",630000,"Slow","High","No","Moderate","No","No","No",NA,"No","No","No","High","Low","Yes","No","Low","No","No"
"915","Helianthus maximiliani","Helianthus maximiliani","HEMA2",NA,"HEMA2","NA (L48, CAN)","CAN(AB, BC, MB, ON, QC, SK), USA(AL, AR, CA, CO, CT, IA, ID, IL, IN, KS, KY, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NJ, NM, NY, OH, OK, PA, SC, SD, TN, TX, VA, WA, WI, WV, WY)","Dicot","Asteraceae","Perennial","Forb/herb","L48(N)CAN(N)","Yes","Summer and Fall","Moderate","None","Low","No","No","No","Yellow","Yes","Green","Moderate","Porous","Coarse","Brown","No","Rhizomatous","Rapid",NA,5,"No","No","Moderate","No","None","No","Erect","None","Yes","Yes","Yes","None","Medium","Yes","Medium","Medium","High",145,"None","Medium",6,8,11000,18000,18,35,16,"Low","Intolerant",-13,"Late Summer","Routinely Available","High","Summer","Fall","No","Yes","No","No","No","No","Yes","No","Yes","No",196360,"Moderate","High","No","Moderate","No","No","Yes",NA,"No","No","No","High","Medium","No","No","High","No","No"
"916","Helianthus nuttallii","Helianthus nuttallii","HENU",NA,"HENU","NA (L48, CAN)","CAN(AB, BC, MB, ON, QC, SK), USA(AZ, CA, CO, IA, ID, KS, MN, MO, MT, ND, NE, NM, NV, OK, OR, SD, UT, WA, WY)","Dicot","Asteraceae","Perennial","Forb/herb","L48(N)CAN(N)","Yes","Spring, Summer, Fall","Slow","None","Medium","No","No","No","Yellow","Yes","Green","Porous","Porous","Coarse","Brown","Yes","Rhizomatous","Moderate",NA,10,"No","No","Moderate","No","None","No","Erect",NA,"No","Yes","Yes","Medium","Low","No","Low","Medium","Medium",120,"None","Medium",5.9,7.5,NA,NA,12,20,14,"None","Intolerant",-38,"Mid Summer","Routinely Available","High","Summer","Fall","Yes","No","No","No","No","No","Yes","No","No","No",125000,"Slow","Medium","No","Slow","No","No","No",NA,"No","No","No","Medium","Low","No","No","Low","No","No"
"917","Helianthus tuberosus","Helianthus tuberosus","HETU",NA,"HETU","NA (L48, CAN)","CAN(MB, NB, NS, ON, PE, QC, SK), USA(AL, AR, CA, CO, CT, DC, DE, FL, GA, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY)","Dicot","Asteraceae","Perennial","Forb/herb","L48(N)CAN(N)","Yes","Spring and Summer","Slow","None",NA,"No","Yes","No","Yellow","Yes","Yellow-Green","Dense","Porous","Coarse","Brown","No","Rhizomatous","Rapid",NA,10,"No","No","Moderate","No","None","No","Erect","None","Yes","Yes","No","None","Medium","No","High","Medium","Medium",100,"None","Low",4,7,4800,10912,15,55,6,"Low","Intermediate",-43,"Late Summer","Routinely Available","Medium","Summer","Fall","No","No","No","No","No","No","Yes","No","No","Yes",75666,"Moderate","Medium","No","Rapid","No","No","No",NA,"No","No","No","High","High","Yes","No",NA,"No","No"
"918","Heliopsis helianthoides var. scabra","Heliopsis helianthoides var. scabra","HEHES",NA,"HEHES","NA (L48, CAN)","CAN(MB, NB, NF, ON, QC, SK), USA(AR, IA, IL, KS, KY, LA, MA, MO, NJ, NM, NY, OK, TX, VA, WI)","Dicot","Asteraceae","Perennial","Forb/herb","L48(N)CAN(N)","Yes","Spring and Summer","Slow","None","Medium","No","No","No","White","Yes","Green","Moderate","Porous","Coarse","Brown","No","Single Crown","Moderate",NA,4,"No","No","Short","No","None","No","Erect","None","Yes","Yes","No","None","Low","No","High","Medium","Medium",160,"None","Low",5.6,6.8,NA,NA,24,40,10,"None","Intermediate",-18,"Summer","Routinely Available","Medium","Summer","Fall","Yes","No","No","No","No","No","Yes","No","No","No",116410,"Slow","Low","No","None","No","No","Yes",NA,"No","No","Yes","Medium","Medium","No","No","Medium","No","No"
"919","Heliotropium curassavicum","Heliotropium curassavicum","HECU3",NA,"HECU3","NA (L48, CAN), HI, PR, VI","CAN(AB, MB, SK), USA+(PR, VI), USA(AL, AR, AZ, CA, CO, DE, FL, GA, HI, ID, IL, KS, LA, MD, ME, MO, MS, MT, NC, ND, NE, NJ, NM, NV, NY, OK, OR, PA, SC, SD, TX, UM, UT, VA, WA, WY)","Dicot","Boraginaceae","Annual, Perennial","Forb/herb, Subshrub","L48(N)HI(N)PR(N)VI(N)CAN(N)","Yes","Spring, Summer, Fall","Slow","None","High","No","No","No","White","Yes","Gray-Green","Moderate","Porous","Coarse","Brown","No","Rhizomatous","Moderate",NA,1,"No","No","Moderate","No","None","No","Decumbent","None","No","Yes","Yes","Low","None","No","Medium","Low","Medium",110,"None","Medium",6.5,8.5,2700,4800,10,24,10,"High","Intolerant",-28,"Mid Spring","No Known Source","High","Summer","Fall","No","No","No","No","No","No","Yes","No","Yes","No",NA,"Slow","Medium","No","Slow","No","No","No",NA,"No","No","No","Low","Low","No","No","Low","No","No"
"920","Hemarthria altissima","Hemarthria altissima","HEAL5",NA,"HEAL5","NA (L48)","USA(FL, PA, TX)","Monocot","Poaceae","Perennial","Graminoid","L48(I)","Yes","Spring, Summer, Fall","Moderate","None","Medium","No","No","Yes",NA,"No","Green","Moderate","Moderate","Medium",NA,"No","Rhizomatous","Moderate",NA,1,"No","No","Moderate","Yes","None","No","Decumbent","None","No","Yes","Yes","Medium","Low","No","Low","High","High",240,"None","High",5.5,7.5,4800,40000,35,70,16,"None","Intolerant",28,NA,"Routinely Available",NA,NA,NA,"No","No","No","No","No","No","No","No","Yes","No",NA,NA,NA,"No","Moderate","No","No","Yes",NA,"No","No","No","Medium","Medium","No","No","Medium","No","No"
